country	date	category	type	confirmed	probable	suspected	total	label
Guinea	2014-12-03	cases	2014-12-03-cases	1929	210	25	2164	Guinea-cases-2014-12-03
Nigeria	2014-11-12	deaths	2014-11-12-deaths	7	1	0	8	Nigeria-deaths-2014-11-12
Sierra Leone	2014-12-15	cases	2014-12-15-cases	6638	79	1556	8273	Sierra Leone-cases-2014-12-15
United States of America	2015-03-05	deaths	2015-03-05-deaths	1	0	0	1	United States of America-deaths-2015-03-05
Senegal	2014-11-07	cases	2014-11-07-cases	1	0	0	1	Senegal-cases-2014-11-07
Nigeria	2014-09-05	cases	2014-09-05-cases	18	1	3	36	Nigeria-cases-2014-09-05
Guinea	2015-03-02	cases	2015-03-02-cases	2808	392	5	3205	Guinea-cases-2015-03-02
United States of America	2015-02-06	cases	2015-02-06-cases	4	0	0	4	United States of America-cases-2015-02-06
Nigeria	2014-12-23	deaths	2014-12-23-deaths	7	1	0	8	Nigeria-deaths-2014-12-23
Sierra Leone	2015-01-16	deaths	2015-01-16-deaths	2717	208	158	3083	Sierra Leone-deaths-2015-01-16
Nigeria	2015-01-29	cases	2015-01-29-cases	19	1	0	20	Nigeria-cases-2015-01-29
Senegal	2015-02-12	cases	2015-02-12-cases	1	0	0	1	Senegal-cases-2015-02-12
Senegal	2015-02-19	cases	2015-02-19-cases	1	0	0	1	Senegal-cases-2015-02-19
Nigeria	2014-10-15	deaths	2014-10-15-deaths	7	1	0	8	Nigeria-deaths-2014-10-15
Senegal	2014-09-08	deaths	2014-09-08-deaths	0	0	0	0	Senegal-deaths-2014-09-08
United States of America	2015-02-23	deaths	2015-02-23-deaths	1	0	0	1	United States of America-deaths-2015-02-23
Nigeria	2015-01-16	deaths	2015-01-16-deaths	7	1	0	8	Nigeria-deaths-2015-01-16
Liberia	2015-02-17	deaths	2015-02-17-deaths	0	0	0	3900	Liberia-deaths-2015-02-17
Sierra Leone	2015-02-17	cases	2015-02-17-cases	8212	287	2604	11103	Sierra Leone-cases-2015-02-17
Guinea	2015-02-20	deaths	2015-02-20-deaths	1688	384	0	2072	Guinea-deaths-2015-02-20
Spain	2015-02-18	cases	2015-02-18-cases	1	0	0	1	Spain-cases-2015-02-18
Mali	2015-02-06	deaths	2015-02-06-deaths	0	0	0	6	Mali-deaths-2015-02-06
Sierra Leone	2014-10-01	deaths	2014-10-01-deaths	574	37	11	622	Sierra Leone-deaths-2014-10-01
Nigeria	2014-10-01	deaths	2014-10-01-deaths	7	1	0	8	Nigeria-deaths-2014-10-01
Spain	2015-02-16	deaths	2015-02-16-deaths	0	0	0	0	Spain-deaths-2015-02-16
Sierra Leone	2014-10-25	cases	2014-10-25-cases	3389	37	470	3896	Sierra Leone-cases-2014-10-25
United States of America	2014-10-08	cases	2014-10-08-cases	1	0	0	1	United States of America-cases-2014-10-08
Nigeria	2015-01-06	cases	2015-01-06-cases	19	1	0	20	Nigeria-cases-2015-01-06
United States of America	2015-01-16	cases	2015-01-16-cases	4	0	0	4	United States of America-cases-2015-01-16
United Kingdom	2015-02-02	cases	2015-02-02-cases	1	0	0	1	United Kingdom-cases-2015-02-02
Senegal	2014-10-08	cases	2014-10-08-cases	1	0	0	1	Senegal-cases-2014-10-08
United Kingdom	2015-01-28	cases	2015-01-28-cases	1	0	0	1	United Kingdom-cases-2015-01-28
Sierra Leone	2014-12-23	cases	2014-12-23-cases	7017	287	1700	9004	Sierra Leone-cases-2014-12-23
Sierra Leone	2014-12-29	cases	2014-12-29-cases	7326	287	1796	9409	Sierra Leone-cases-2014-12-29
Senegal	2014-10-29	deaths	2014-10-29-deaths	0	0	0	0	Senegal-deaths-2014-10-29
United Kingdom	2015-02-25	cases	2015-02-25-cases	1	0	0	1	United Kingdom-cases-2015-02-25
United Kingdom	2015-02-02	deaths	2015-02-02-deaths	0	0	0	0	United Kingdom-deaths-2015-02-02
Sierra Leone	2014-08-29	deaths	2014-08-29-deaths	380	9	8	25	Sierra Leone-deaths-2014-08-29
Senegal	2014-12-23	cases	2014-12-23-cases	1	0	0	1	Senegal-cases-2014-12-23
United States of America	2015-03-06	deaths	2015-03-06-deaths	1	0	0	1	United States of America-deaths-2015-03-06
Liberia	2014-11-07	cases	2014-11-07-cases	2514	1629	2476	6619	Liberia-cases-2014-11-07
Senegal	2015-01-27	cases	2015-01-27-cases	1	0	0	1	Senegal-cases-2015-01-27
Guinea	2014-12-17	cases	2014-12-17-cases	2127	263	26	2416	Guinea-cases-2014-12-17
Senegal	2014-10-25	cases	2014-10-25-cases	1	0	0	1	Senegal-cases-2014-10-25
Nigeria	2014-12-01	cases	2014-12-01-cases	19	1	0	20	Nigeria-cases-2014-12-01
Nigeria	2015-01-16	cases	2015-01-16-cases	19	1	0	20	Nigeria-cases-2015-01-16
Senegal	2015-01-26	deaths	2015-01-26-deaths	0	0	0	0	Senegal-deaths-2015-01-26
Liberia	2014-12-23	deaths	2014-12-23-deaths	0	0	0	3376	Liberia-deaths-2014-12-23
Spain	2014-11-12	cases	2014-11-12-cases	1	0	0	1	Spain-cases-2014-11-12
Senegal	2014-12-26	cases	2014-12-26-cases	1	0	0	1	Senegal-cases-2014-12-26
United States of America	2015-02-20	deaths	2015-02-20-deaths	1	0	0	1	United States of America-deaths-2015-02-20
Mali	2014-11-07	cases	2014-11-07-cases	1	0	0	1	Mali-cases-2014-11-07
Liberia	2014-12-31	deaths	2014-12-31-deaths	0	92	0	3423	Liberia-deaths-2014-12-31
Nigeria	2015-01-15	deaths	2015-01-15-deaths	7	1	0	8	Nigeria-deaths-2015-01-15
Sierra Leone	2015-01-13	deaths	2015-01-13-deaths	2683	208	158	3049	Sierra Leone-deaths-2015-01-13
Mali	2014-12-03	cases	2014-12-03-cases	7	1	0	8	Mali-cases-2014-12-03
